Name,Market Value
Andre Brooks,€2.50m
Anis Slimane,€2.50m
Oliver Norwood,€1.00m
Ismaila Coulibaly,€1.00m
Ben Osborn,€1.00m
John Fleck,€900k
Oliver Arblaster,€450k
Sydie Peck,€200k
Owen Hampson,-
James McAtee,€12.00m
Billy Blacker,€100k
Louie Marsh,€100k
Cameron Archer,€13.00m
Ben Brereton Díaz,€8.00m
Oli McBurnie,€4.50m
Bénie Traoré,€4.00m
Rhian Brewster,€3.00m
William Osula,€3.00m
Daniel Jebbison,€1.00m
Antwoine Hackford,€500k
Ryan Oné,€200k
Thomas Kaminski,€3.00m
Tim Krul,€500k
Jack Walton,€400k
James Shea,€200k
Teden Mengi,€12.00m
Tom Holmes,€3.50m
Gabriel Osho,€3.00m
Mads Andersen,€3.00m
Tom Lockyer,€2.50m
Reece Burke,€1.80m
Dan Potts,€900k
Aidan Francis-Clarke,-
Christian Chigozie,-
Ryan Giles,€4.50m
Amari'i Bell,€2.50m
Joe Johnson,€100k
Issa Kaboré,€10.00m
Daiki Hashioka,€2.00m
Marvelous Nakamba,€5.00m
Pelly Ruddock Mpanzu,€1.50m
Dominic Dos Santos Martins,-
Albert Sambi Lokonga,€15.00m
Ross Barkley,€8.00m
Allan Campbell,€2.00m
Jordan Clark,€1.00m
Luke Berry,€400k
Louie Watson,€250k
Elliot Thorpe,€200k
Axel Piesold,€150k
Jake Burger,-
Jayden Luker,-
Alfie Doughty,€10.00m
Fred Onyedinma,€500k
Zack Nelson,€100k
Dion Pereira,€175k
Chiedozie Ogbene,€8.00m
Tahith Chong,€6.00m
Andros Townsend,€1.80m
John McAtee,€300k
Carlton Morris,€13.00m
Elijah Adebayo,€12.00m
Jacob Brown,€4.00m
Cauley Woodrow,€1.00m
Joe Taylor,€350k
Admiral Muskwe,€275k
Taylan Harris,-
