"Name","market_value","age","national_team_ranking","club_ranking","minutes_played","goals","assists","position"
"Saïd Benrahma",2e+07,27,44,86,620,0,1,"FWMF"
"Maxwel Cornet",9e+06,26,37,86,112,1,0,"FWMF"
"Mohammed Kudus",5e+07,22,64,86,2484,8,6,"FWMF"
"Jarrod Bowen",5e+07,26,5,86,3019,16,6,"FW"
"Danny Ings",8e+06,31,5,86,404,1,0,"FW"
"Michail Antonio",4e+06,33,53,86,1695,6,2,"FW"
"Divin Mubama",1e+06,18,5,86,80,0,0,"FW"
"Santiago Bueno",8e+06,24,14,137,822,0,0,"DF"
"Craig Dawson",2e+06,33,5,137,2209,1,1,"DF"
"Rayan Aït-Nouri",3.5e+07,22,44,137,2329,2,1,"MFDF"
"Hugo Bueno",6e+06,20,8,137,741,0,0,"MFDF"
"Nélson Semedo",1.2e+07,29,6,137,3084,0,1,"MFDF"
"Matt Doherty",3e+06,31,60,137,1150,1,0,"MFDF"
"Mario Lemina",1e+07,29,83,137,2968,4,1,"MF"
"Boubacar Traoré",6e+06,21,50,137,819,0,0,"MF"
"João Gomes",3.5e+07,22,4,137,2649,2,1,"MF"
"Jean-Ricner Bellegarde",1.5e+07,25,2,137,958,2,1,"FWMF"
"Tommy Doyle",1e+07,21,5,137,1222,0,0,"MF"
"Tawanda Chirewa",5e+05,19,129,137,145,0,0,"FWMF"
"Pedro Neto",5.5e+07,23,6,137,1516,2,9,"FWMF"
"Pablo Sarabia",1e+07,31,8,137,1745,4,7,"FWMF"
"Matheus Cunha",4.5e+07,24,4,137,2440,12,7,"FWMF"
"Fábio Silva",1.1e+07,21,6,137,264,0,0,"FW"
"Sasa Kalajdzic",5e+06,26,25,137,166,2,0,"FW"
"Nathan Fraser",1e+06,18,60,137,186,0,0,"FW"
"Leon Chiwome",1e+06,17,5,137,174,0,0,"FW"
"Jordan Beyer",1.3e+07,23,16,316,1234,0,1,"DF"
"Ameen Al-Dakhil",1.2e+07,21,3,316,1056,1,0,"DF"
"Dara O'Shea",7e+06,24,60,316,2892,3,4,"DF"
"Hjalmar Ekdal",7e+06,24,28,316,437,0,0,"DF"
"Maxime Estève",7e+06,21,2,316,1309,0,0,"DF"
"Hannes Delcroix",4e+06,24,3,316,589,0,0,"DF"
"Charlie Taylor",3e+06,29,5,316,2331,1,1,"DF"
"Lorenz Assignon",1e+07,23,120,316,1234,1,2,"DF"
"Connor Roberts",7e+06,27,29,316,823,0,1,"DF"
"Vitinho",5e+06,24,4,316,2314,0,2,"MFDF"
"Sander Berge",2e+07,25,46,316,3005,1,2,"MF"
"Josh Cullen",1e+07,27,60,316,2057,2,3,"MF"
"Han-Noah Massengo",4e+06,22,2,316,16,0,0,"MFDF"
