"Name","market_value","age","national_team_ranking","club_ranking","minutes_played","goals","assists","position"
"Luca Garritano",1200000,29,10,325,485,0,0,"MFDF"
"Francesco Gelli",1e+06,26,10,325,1561,0,0,"MFDF"
"Giuseppe Caso",1500000,24,10,325,417,0,0,"FWMF"
"Jaime Báez",9e+05,28,14,325,500,1,0,"FWMF"
"Giorgi Kvernadze",8e+05,20,74,325,63,0,0,"FWDF"
"Luigi Canotto",6e+05,29,10,325,16,0,0,"FW"
"Walid Cheddira",6e+06,25,12,325,2120,7,1,"FW"
"Kaio Jorge",4e+06,21,4,325,812,3,0,"FW"
"Gennaro Borrelli",1400000,23,10,325,24,0,0,"FW"
"Marvin Cuni",9e+05,22,66,325,534,1,0,"FW"
"Mattia Viti",5e+06,21,10,397,979,1,0,"DF"
"Gian Marco Ferrari",1400000,31,10,397,2272,1,0,"DF"
"Kevin Miranda",350000,20,10,397,14,0,0,"DF"
"Matías Viña",8e+06,25,14,397,1014,0,3,"DF"
"Jeremy Toljan",3500000,28,16,397,2083,0,5,"DF"
"Filippo Missori",1500000,19,10,397,266,0,0,"DF"
"Daniel Boloca",7e+06,24,47,397,2022,1,0,"MF"
"Luca Lipani",4e+06,18,10,397,384,0,0,"MF"
"Uroš Račić",2500000,25,32,397,820,1,1,"MF"
"Matheus Henrique",8500000,25,4,397,2501,2,2,"MF"
