"Name","Market.Value","Age","Nation","Team","Min","Gls","Ast","Pos","Nation_Ranking"
"Scott McKenna","€9.00m","26","Scotland","Nott'ham Forest","416","0","0","DF","39"
"Joe Worrall","€7.50m","26","England","Nott'ham Forest","439","0","0","DF","5"
"Willy Boly","€2.50m","32","Côte d'Ivoire","Nott'ham Forest","1438","2","1","DF","37"
"Felipe","€1.50m","34","Brazil","Nott'ham Forest","375","0","0","DF","4"
"Nuno Tavares","€15.00m","23","Portugal","Nott'ham Forest","457","0","0","DF","6"
"Harry Toffolo","€5.00m","27","England","Nott'ham Forest","1459","1","3","DF","5"
"Neco Williams","€17.00m","22","Wales","Nott'ham Forest","1637","0","1","DF","29"
"Ola Aina","€12.00m","26","Nigeria","Nott'ham Forest","1692","1","1","DF","38"
"Gonzalo Montiel","€10.00m","26","Argentina","Nott'ham Forest","801","0","2","DF","1"
"Serge Aurier","€3.70m","30","Côte d'Ivoire","Nott'ham Forest","833","0","2","DFMF","37"
"Ibrahim Sangaré","€30.00m","25","Côte d'Ivoire","Nott'ham Forest","1035","0","0","MF","37"
"Danilo","€28.00m","22","Brazil","Nott'ham Forest","1792","2","2","MF","4"
"Orel Mangala","€20.00m","25","Belgium","Nott'ham Forest","1563","1","0","MF","3"
"Cheikhou Kouyaté","€1.00m","33","Senegal","Nott'ham Forest","212","0","0","MF","18"
"Nicolás Domínguez","€17.00m","25","Argentina","Nott'ham Forest","1495","2","2","MFFW","1"
"Ryan Yates","€12.00m","25","England","Nott'ham Forest","1992","1","1","MF","5"
"Morgan Gibbs-White","€40.00m","23","England","Nott'ham Forest","3156","5","10","MFFW","5"
"Brandon Aguilera","€300k","20","Costa Rica","Nott'ham Forest","5","0","0","FW","52"
"Callum Hudson-Odoi","€18.00m","22","England","Nott'ham Forest","1854","8","1","FWMF","5"
"Anthony Elanga","€22.00m","21","Sweden","Nott'ham Forest","2433","5","9","FWMF","28"
"Taiwo Awoniyi","€28.00m","25","Nigeria","Nott'ham Forest","1042","6","3","FW","38"
